id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
8288,Tomas Soucek,36,3240,9,7.865986108779907,1,2.3296639565378428,58,17,7,1,M,West Ham,9,7.865986108779907,15.190685167908669,8.110386498272419,449,0.2184996141327752,0.2184996141327752,0.06471288768160674
482,Roberto Firmino,34,2710,8,12.594069015234707,6,4.877504974603654,79,38,2,0,F M S,Liverpool,8,12.594069015234707,23.51492440700531,9.163701271638272,249,0.4182532145280899,0.4182532145280899,0.16198356004218778
843,James Ward-Prowse,36,3240,8,5.348177867941558,7,3.896456131711602,39,55,5,0,D M,Southampton,5,2.3035025028511877,10.010446352884172,8.851261625066401,370,0.14856049633170995,0.06398618063475521,0.10823489254754451
1776,Jarrod Bowen,36,2499,8,7.817085841670632,5,4.542321811430156,53,27,0,0,F M S,West Ham,8,7.817085841670632,13.590274514630435,3.0969949951395392,445,0.28152770138069505,0.28152770138069505,0.16358902081981355
3621,Neal Maupay,33,2526,8,13.773534506559372,2,4.277407880872488,71,32,1,1,F M S,Brighton,5,10.728932749480007,17.157539159059525,3.381784765049815,68,0.4907435097348945,0.3822660124517817,0.15240170596932856
5543,Gabriel Jesus,27,1969,8,8.949535544961691,4,3.37188967410475,51,29,2,0,F M S,Manchester City,8,8.949535544961691,16.504665326327085,5.563634850084782,282,0.40906967955640033,0.40906967955640033,0.1541239566629901
6818,James Maddison,29,1997,8,3.808644549921155,5,5.386723920702933,74,50,4,0,M S,Leicester,8,3.808644549921155,11.72450578585267,6.073130352422595,231,0.1716464744581392,0.1716464744581392,0.24276672652141412
8718,Stuart Dallas,36,3232,8,4.3544783145189285,2,2.0686722639948134,45,25,6,0,D M,Leeds,8,4.3544783145189285,17.380735859274864,12.758789567276835,200,0.12125713128301471,0.12125713128301471,0.057605353885994186
8720,Jack Harrison,34,2691,8,6.214566902257503,8,7.5230593085289,45,59,2,0,M S,Leeds,8,6.214566902257503,18.849588219076395,7.52714978531003,203,0.20784504689824426,0.20784504689824426,0.251607334733408
6055,Phil Foden,26,1458,7,5.18924518302083,5,4.714642845094204,41,35,0,0,F M S,Manchester City,7,5.18924518302083,12.312139343470335,4.857760529965162,284,0.3203237767296809,0.3203237767296809,0.29102733611692616
